Nazwa,Detail - X,Detail - Y,Detail - Z,Box - X,Box - Y,Box - Z
<<<<<<< HEAD
blacha8_001_001,0060.4070,0060.4072,0000.0000,0000.0000,0600.0000,0000.0000
blacha8_001_002,0170.7298,0071.4620,0000.0000,0000.0000,0600.0000,0003.0000
blacha8_003_001,0186.0774,0172.9250,0000.0000,0000.0000,0700.0000,0000.0000
blacha8_003_002,0045.1505,0161.8602,0000.0000,0000.0000,0700.0000,0003.0000
blacha8_002_001,0109.0638,0294.9366,0000.0000,0150.0000,0700.0000,0000.0000
blacha8_004_001,0164.0000,0477.0005,0000.0000,0300.0000,0700.0000,0000.0000
blacha8_004_002,0058.0000,0477.0005,0000.0000,0300.0000,0700.0000,0003.0000
=======
blacha8_001_001,0060.4070,0060.4072,0000.0000,0782.0000,1060.0000,0055.0000
blacha8_001_002,0170.7298,0071.4620,0000.0000,0782.0000,1060.0000,0057.0000
blacha8_003_001,0186.0774,0172.9250,0000.0000,0782.0000,0852.0000,0055.0000
blacha8_003_002,0045.1505,0161.8602,0000.0000,0782.0000,0852.0000,0057.0000
blacha8_002_001,0109.0638,0294.9366,0000.0000,0982.0000,0852.0000,0055.0000
blacha8_004_001,0164.0000,0477.0005,0000.0000,0982.0000,1060.0000,0055.0000
blacha8_004_002,0058.0000,0477.0005,0000.0000,0982.0000,1060.0000,0057.0000
>>>>>>> 0bf9e126082fb5f43a7967e0061edb31ae00552b
